(16, 6)
(7, 12)
(14, 4)
(12, 12)
(19, 4)
(18, 4)
(21, 6)
(4, 0)
(10, 8)
(30, 0)
(6, 10)
(14, 18)
(12, 6)
(10, 18)
(21, 12)
(20, 4)
(9, 16)
(16, 0)
(14, 2)
(21, 18)
(20, 14)
(18, 10)
(17, 18)
(26, 18)
(8, 12)
(10, 14)
(7, 8)
(14, 8)
(6, 16)
(12, 8)
(19, 8)
(18, 0)
(20, 16)
(11, 16)
(16, 16)
(6, 14)
(11, 10)
(19, 18)
(17, 6)
(16, 10)
(24, 18)
(20, 0)
(18, 16)
(8, 6)
(6, 4)
(10, 4)
(16, 4)
(15, 10)
(14, 6)
(13, 6)
(20, 10)
(12, 18)
(18, 6)
(22, 0)
(32, 0)
(10, 10)
(14, 12)
(12, 4)
(8, 0)
(11, 14)
(16, 14)
(15, 12)
(22, 20)
(20, 12)
(18, 12)
(8, 10)
(10, 0)
(8, 16)
(7, 14)
(14, 10)
(12, 14)
(19, 6)
(18, 2)
(17, 10)
(37, 18)
(1, 4)
(21, 4)
(6, 8)
(14, 16)
(12, 0)
(11, 8)
(10, 16)
(16, 8)
(15, 6)
(22, 18)
(21, 10)
(20, 6)
(18, 18)
(2, 4)
(9, 12)
(8, 4)
(6, 6)
(10, 6)
(16, 2)
(7, 16)
(14, 0)
(15, 8)
(20, 8)
(12, 16)
(18, 8)
(24, 0)
(8, 14)
(4, 4)
(10, 12)
(7, 10)
(14, 14)
(12, 10)
(19, 10)
(2, 16)
(26, 0)
(9, 10)
(6, 12)
(17, 4)
(16, 12)
(24, 20)
(20, 2)
(27, 18)
(18, 14)
(2, 0)
(8, 8)
(28, 0)
(11, 6)
