0	15	14	10	11	12	14	13	5	14	18	11	8	22	14	20	14	14	16	4	12	18	14	13	10	18	17	8	12	3	14	11	33	17	17	18	9	16	21	16	12	19	22	12	14	14	16	7	16	4	1	14	20	11	4	20	11	6	20	6	5	16	18	15	16	16	13	10	10	6	16	19	18	5	6	14	4	14	18	16	9	21	1	10	20	14	12	14	18	13	12	8	8	13	12	24	23	10	14	16	9	2	3	12	16	2	11	16	12	13	12	22	22	10	12	23	16	10	20	12	10	18	5
15	0	19	5	24	23	17	6	20	11	15	8	11	23	13	35	11	5	13	13	7	13	19	14	25	9	6	9	7	18	25	12	36	14	10	25	24	21	20	15	13	16	25	7	11	1	21	12	11	13	14	5	21	16	19	17	8	11	7	11	16	27	17	12	13	13	2	13	9	13	23	8	23	12	17	11	15	29	5	5	6	18	16	11	23	11	3	29	15	6	9	11	7	14	11	9	20	15	21	31	10	13	12	15	13	17	8	1	27	22	9	25	37	7	27	26	13	7	17	17	9	33	14
14	19	0	18	5	4	10	21	11	22	14	19	10	26	18	20	20	16	24	10	18	26	8	17	6	24	21	16	20	13	6	19	37	13	25	6	7	4	25	20	18	27	26	12	22	20	6	11	24	16	13	22	24	15	12	26	11	14	22	12	15	8	22	23	24	12	21	6	10	8	4	23	6	15	14	22	16	14	20	22	17	25	15	18	24	10	20	10	24	17	20	8	16	17	8	24	19	4	2	16	17	12	11	16	24	14	19	18	12	3	20	26	22	18	8	27	22	18	16	2	10	18	9
10	5	18	0	21	22	18	5	15	6	20	3	8	18	8	30	6	8	8	8	6	10	18	9	20	10	7	4	4	13	24	7	31	19	9	24	19	20	15	10	8	11	20	12	6	4	20	7	8	8	9	6	16	11	14	12	11	6	12	6	11	26	12	7	8	18	3	14	14	10	22	11	22	7	12	6	10	24	8	6	3	13	11	6	18	16	2	24	10	7	4	12	4	9	16	14	25	14	20	26	5	8	7	10	8	12	5	6	22	21	4	20	32	4	22	21	8	2	22	16	10	28	9
11	24	5	21	0	1	15	24	6	19	19	18	15	21	13	15	15	21	25	15	23	29	13	12	1	29	26	17	23	8	9	14	32	18	28	9	2	7	20	15	13	22	21	17	23	25	11	16	27	13	12	25	19	10	7	21	16	15	27	17	10	11	17	26	21	17	24	11	15	13	7	28	9	14	9	25	11	9	25	27	20	20	10	15	19	15	23	9	19	22	21	13	19	12	13	29	24	9	3	11	16	13	14	11	27	9	22	23	7	2	17	21	17	21	7	22	17	19	21	7	15	13	14
12	23	4	22	1	0	14	25	7	20	18	19	14	22	14	16	16	20	26	14	22	30	12	13	2	28	25	18	24	9	8	15	33	17	29	8	3	6	21	16	14	23	22	16	24	24	10	15	28	14	13	26	20	11	8	22	15	16	26	16	11	10	18	27	22	16	25	10	14	12	6	27	8	15	10	26	12	10	24	26	21	21	11	16	20	14	24	10	20	21	22	12	20	13	12	28	23	8	2	12	17	14	15	12	28	10	23	22	8	1	18	22	18	22	8	23	18	20	20	6	14	14	13
14	17	10	18	15	14	0	19	18	15	23	14	13	17	9	15	11	19	21	9	17	23	19	8	5	23	22	13	17	2	9	10	28	22	22	13	4	13	16	11	9	18	17	17	19	19	17	12	21	7	6	19	15	6	1	17	16	9	25	11	4	11	13	20	17	21	18	15	15	11	11	24	15	8	3	19	5	9	23	21	14	16	4	11	15	19	17	9	15	18	17	13	13	8	17	29	28	15	9	11	12	7	8	7	21	3	16	21	7	8	13	17	17	15	7	18	13	15	25	13	15	13	10
13	6	21	5	24	25	19	0	4	21	26	23	14	38	28	26	26	12	28	14	14	24	6	29	20	20	17	20	22	21	16	23	51	7	21	12	21	12	35	30	24	31	40	10	26	16	8	15	22	20	17	20	36	27	22	32	11	18	18	16	23	14	32	23	28	6	17	8	8	12	14	19	10	19	24	24	22	20	16	18	17	33	19	22	38	6	18	16	30	13	24	10	18	25	6	18	5	10	16	22	21	16	15	26	26	20	15	14	18	17	24	40	28	16	18	41	28	22	2	12	12	24	13
5	20	11	15	6	7	18	4	0	10	11	12	9	24	14	28	12	8	14	6	10	16	10	15	16	16	13	6	10	11	16	9	37	13	15	16	17	12	21	16	10	17	26	4	12	12	12	1	14	6	7	12	22	13	12	18	3	4	14	2	9	18	18	13	14	12	11	6	6	4	14	15	14	5	10	12	8	22	12	14	7	19	9	8	24	10	10	20	16	9	10	4	6	11	8	16	19	6	12	24	7	6	5	12	14	10	9	10	20	13	10	26	30	8	18	27	14	8	16	8	2	26	5
14	11	22	6	19	20	15	21	10	0	22	33	28	27	28	22	24	34	34	24	32	38	20	21	14	38	37	26	32	17	14	23	25	33	37	14	13	18	27	24	22	31	22	32	32	34	18	27	36	22	21	34	26	19	16	30	31	24	40	26	19	12	26	35	30	32	33	26	30	26	16	39	16	23	18	34	20	6	38	36	29	29	19	24	24	30	32	10	28	33	30	28	28	21	28	44	31	24	18	4	25	22	23	20	36	18	31	36	8	17	26	26	2	30	12	21	26	28	28	22	30	2	25
